total_population,median_income,median_rent,median_home_value,vacant_units,total_units,avg_commute_time,median_age,non_hispanic_white,hispanic_population,per_capita_income,poverty_count,median_year_built,rent_burden_30_50,total_housing_units,bachelors_degree,workers_public_transit,vehicles_available,zip_code
71812.0,88546.0,1801.0,935000.0,3168.0,33347.0,28537.0,40.6,14178.0,43362.0,52048.0,7636.0,33347.0,1605.0,33347.0,7960.0,28537.0,30179.0,11209
93008.0,62804.0,1641.0,978800.0,2658.0,30565.0,36683.0,36.0,38012.0,13974.0,25708.0,20513.0,30565.0,1677.0,30565.0,14065.0,36683.0,27907.0,11220
43653.0,59115.0,1623.0,454000.0,889.0,17430.0,17098.0,40.3,31339.0,8924.0,35363.0,7806.0,17430.0,824.0,17430.0,5462.0,17098.0,16541.0,10040
38595.0,36989.0,1116.0,661800.0,1406.0,16239.0,12539.0,37.1,16604.0,5033.0,30083.0,13268.0,16239.0,1612.0,16239.0,5340.0,12539.0,14833.0,10035
72014.0,173899.0,2673.0,1597400.0,2502.0,31967.0,29437.0,37.2,10855.0,48203.0,98246.0,4189.0,31967.0,1382.0,31967.0,2872.0,29437.0,29465.0,11215
84006.0,35840.0,1150.0,565200.0,2438.0,34529.0,28008.0,37.2,16365.0,2918.0,21502.0,27283.0,34529.0,2301.0,34529.0,16815.0,28008.0,32091.0,11212
62373.0,92684.0,2048.0,1360500.0,2285.0,28596.0,27784.0,34.2,8459.0,18755.0,54361.0,10170.0,28596.0,1523.0,28596.0,7464.0,27784.0,26311.0,11216
34279.0,109625.0,2556.0,1011200.0,8495.0,24983.0,15871.0,34.0,7019.0,11878.0,71391.0,4673.0,24983.0,1261.0,24983.0,3511.0,15871.0,16488.0,11101
58047.0,125747.0,2368.0,1145100.0,2249.0,28741.0,25677.0,35.3,8122.0,27508.0,79174.0,6294.0,28741.0,1598.0,28741.0,3704.0,25677.0,26492.0,11238
58418.0,83344.0,1832.0,714100.0,2349.0,32019.0,24252.0,38.2,14386.0,29258.0,67969.0,13206.0,32019.0,2680.0,32019.0,4048.0,24252.0,29670.0,10009
54369.0,145864.0,3048.0,953300.0,6285.0,36447.0,29119.0,33.3,6786.0,31619.0,126106.0,5010.0,36447.0,1957.0,36447.0,1512.0,29119.0,30162.0,10016
69131.0,54211.0,1550.0,1100100.0,2271.0,28552.0,25627.0,34.0,9866.0,15697.0,32775.0,16222.0,28552.0,1985.0,28552.0,9339.0,25627.0,26281.0,11213
